Quarter;-Max;-1000MW;-900MW;-800MW;-700MW;-600MW;-500MW;-400MW;-300MW;-200MW;-100MW;100MW;200MW;300MW;400MW;500MW;600MW;700MW;800MW;900MW;1000MW;Max
25/01/2023 02:30 -> 02:45;-250.00;-86.87;-86.87;-86.87;-86.87;-86.87;-86.87;-86.87;-86.87;-86.87;84.46;175.19;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 02:45 -> 03:00;-250.00;-87.12;-87.12;-87.12;-87.12;-87.12;-87.12;-87.12;-87.12;-87.12;84.46;175.19;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 03:00 -> 03:15;-250.00;-134.07;-134.07;-134.07;-134.07;-134.07;-134.07;-134.07;-134.07;-134.07;55.21;175.19;238.29;264.70;270.87;279.50;290.10;290.10;408.11;594.39;2000.00;2000.00
25/01/2023 03:15 -> 03:30;-250.00;-134.11;-134.11;-134.11;-134.11;-134.11;-134.11;-134.11;-134.11;-134.11;55.21;175.19;241.98;264.70;271.00;279.50;290.10;406.00;594.39;1450.00;2000.00;2000.00
25/01/2023 03:30 -> 03:45;-250.00;-133.95;-133.95;-133.95;-133.95;-133.95;-133.95;-133.95;-133.95;-133.95;55.21;175.19;241.98;264.70;271.00;279.50;290.10;406.00;594.39;1450.00;2000.00;2000.00
25/01/2023 03:45 -> 04:00;-250.00;-134.13;-134.13;-134.13;-134.13;-134.13;-134.13;-134.13;-134.13;-134.13;55.21;175.19;241.98;264.70;271.00;279.50;290.10;406.00;594.39;1450.00;2000.00;2000.00
25/01/2023 04:00 -> 04:15;-250.00;-148.08;-148.08;-148.08;-148.08;-148.08;-148.08;-148.08;-148.08;-148.08;55.51;175.19;241.98;264.70;271.00;279.50;290.10;406.00;594.39;1450.00;2000.00;2000.00
25/01/2023 04:15 -> 04:30;-250.00;-149.91;-149.91;-149.91;-149.91;-149.91;-149.91;-149.91;-149.91;-149.91;52.30;175.19;241.98;264.70;271.00;279.50;290.10;406.00;594.39;1450.00;2000.00;2000.00
25/01/2023 04:30 -> 04:45;-250.00;-140.32;-140.32;-140.32;-140.32;-140.32;-140.32;-140.32;-140.32;-140.32;59.58;174.49;241.98;264.70;271.00;279.50;290.10;406.00;594.39;1450.00;2000.00;2000.00
25/01/2023 04:45 -> 05:00;-250.00;-173.40;-173.40;-173.40;-173.40;-173.40;-173.40;-173.40;-173.40;-173.40;-31.95;174.49;241.98;264.70;271.00;279.50;290.10;406.00;594.39;1450.00;2000.00;2362.22
25/01/2023 05:00 -> 05:15;-250.00;-114.62;-114.62;-114.62;-114.62;-114.62;-114.62;-114.62;-114.62;-114.62;80.55;174.49;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2316.38;2316.38;2316.38
25/01/2023 05:15 -> 05:30;-250.00;-113.45;-113.45;-113.45;-113.45;-113.45;-113.45;-113.45;-113.45;-113.45;80.55;174.49;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2455.05;2455.05;2455.05
25/01/2023 05:30 -> 05:45;-250.00;-104.81;-104.81;-104.81;-104.81;-104.81;-104.81;-104.81;-104.81;-104.81;84.46;174.49;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2134.41;2134.41;2134.41
25/01/2023 05:45 -> 06:00;-250.00;-104.81;-104.81;-104.81;-104.81;-104.81;-104.81;-104.81;-104.81;-104.81;84.46;174.49;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 06:00 -> 06:15;-250.00;-104.76;-104.76;-104.76;-104.76;-104.76;-104.76;-104.76;-104.76;-104.76;84.46;181.34;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2243.21;2243.21;2243.21
25/01/2023 06:15 -> 06:30;-250.00;-103.75;-103.75;-103.75;-103.75;-103.75;-103.75;-103.75;-103.75;-103.75;84.46;181.34;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2243.21;2243.21;2243.21
